Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
DVNE  -116.993714    33.693537   -35.221000    12.253000    -3.375000     0.502000     0.508000     2.299000
DVNW  -117.066120    33.673405   -34.568000    14.373000    -9.851000     0.503000     0.604000     2.350000
DVPB  -117.860132    34.413414   -31.537000     9.111000     0.386000     0.084000     0.107000     0.370000
DVSE  -116.990394    33.680802   -36.719000    12.614000    -4.849000     0.425000     0.467000     2.023000
DVSW  -117.066055    33.667908   -34.237000    12.705000    -9.730000     0.591000     0.652000     2.618000
DYER  -118.039339    37.742803   -16.850000    -7.085000     0.244000     0.160000     0.193000     0.649000
DYH2  -118.127464    33.938315   -39.024000    15.524000    -1.262000     0.243000     0.281000     0.936000
DYHS  -118.125988    33.937990   -41.690000    15.759000     0.903000     0.218000     0.258000     0.910000
EBMD  -122.283810    37.815009   -30.948000    13.666000    -1.501000     0.254000     0.312000     0.984000
ECCO  -118.329031    33.886755   -38.144000    19.010000     0.703000     0.369000     0.455000     1.644000
ECFS  -117.411699    33.647686   -36.557000    16.024000    -0.580000     0.107000     0.128000     0.425000
ECHO  -114.264250    37.915533   -15.964000    -9.127000    -0.595000     0.080000     0.100000     0.314000
EDPP  -118.830412    34.946195   -27.981000     5.552000     1.011000     0.108000     0.132000     0.454000
EGAN  -114.938857    39.345243   -16.564000    -9.529000    -1.020000     0.104000     0.129000     0.420000
ELKO  -115.817201    40.914689   -17.032000    -9.478000    -0.446000     0.102000     0.132000     0.403000
ELLY  -118.128790    33.583499   -37.393000    18.000000    -3.928000     0.444000     0.516000     1.822000
ELSC  -118.208438    34.029735   -37.904000    13.993000    -2.636000     0.115000     0.130000     0.491000
ELSG  -117.426024    33.649142   -37.163000    16.603000    -1.043000     0.318000     0.369000     1.252000
ELTN  -118.425733    34.703118   -27.287000     6.361000     0.624000     0.307000     0.361000     1.185000
ELTS  -118.453765    34.599292   -30.844000    10.972000    -1.216000     0.292000     0.359000     1.188000
ERRG  -115.822735    33.116446   -28.202000     6.205000    -0.444000     0.149000     0.163000     0.572000
ESE2  -116.993862    33.674795   -33.413000    13.426000     2.927000     0.327000     0.402000     1.422000
ESRW  -117.066956    33.681781   -34.680000    13.433000     0.944000     0.284000     0.320000     1.231000
EWPP  -117.525589    34.104199   -34.018000    12.210000     0.282000     0.136000     0.164000     0.629000
FARB  -123.000773    37.697211   -38.886000    25.712000    -2.032000     0.045000     0.056000     0.188000
FERN  -112.454739    35.341871   -14.333000    -8.145000    -0.389000     0.042000     0.050000     0.172000
FGST  -120.009387    34.733011   -41.683000    19.834000     0.474000     0.080000     0.095000     0.323000
FHOG  -116.935871    34.093547   -24.315000     6.885000     1.287000     0.140000     0.202000     0.670000
FMTP  -118.894148    34.409866   -37.896000    14.826000    -0.612000     0.081000     0.098000     0.328000
FMVT  -118.884037    34.356338   -39.014000    17.841000    -0.137000     0.142000     0.169000     0.569000
FOOT  -113.805376    39.369396   -16.376000    -9.135000    -0.359000     0.037000     0.045000     0.150000
FOXG  -118.240502    34.733912   -25.837000     7.016000    -4.618000     0.387000     0.461000     1.553000
FRED  -112.499219    36.988331   -14.292000    -8.522000    -0.692000     0.043000     0.052000     0.172000
FSHB  -115.799944    32.944989   -31.769000    11.240000     1.771000     0.227000     0.242000     0.951000
FVPK  -117.935719    33.662329   -37.782000    20.638000    -2.088000     0.276000     0.319000     1.102000
FXHS  -118.359483    34.080606   -40.725000    14.278000    -1.243000     0.154000     0.181000     0.710000
FZHS  -118.893385    34.800194   -31.977000     8.214000     1.485000     0.083000     0.099000     0.352000
GABB  -117.916394    38.970331   -16.491000    -8.891000     0.563000     0.158000     0.197000     0.676000
GARL  -119.355460    40.416526   -17.478000    -7.552000     0.144000     0.053000     0.068000     0.222000
GASB  -122.715933    39.654707   -21.918000    -4.410000     3.118000     0.385000     0.521000     2.534000
GDEC  -119.863685    35.189417   -35.295000    14.139000     0.637000     0.093000     0.115000     0.390000
GHRP  -117.397899    34.203890   -29.284000     8.557000     0.337000     0.194000     0.225000     0.787000
GLRS  -115.521374    33.274811   -16.921000    -8.464000    -0.746000     0.175000     0.202000     0.704000
GMAG  -116.382568    34.291434   -17.330000    -0.146000    -0.066000     0.191000     0.214000     0.727000
GMPK  -114.827347    33.051084   -13.678000    -7.696000    -0.893000     0.162000     0.179000     0.660000
GMRC  -115.660231    34.783997   -15.078000    -8.627000    -0.635000     0.106000     0.129000     0.534000
GNPS  -114.189452    34.308555   -13.865000    -7.703000     0.258000     0.146000     0.166000     0.569000
GOL2  -116.889252    35.425155   -17.157000    -3.754000    -0.618000     0.125000     0.148000     0.543000
GOLD  -116.889252    35.425155   -16.951000    -3.827000    -0.017000     0.060000     0.072000     0.253000
GOSH  -114.179700    40.640168   -16.532000    -9.533000    -0.085000     0.052000     0.066000     0.206000
