Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
RUMP  -115.868461    36.256906   -15.202000    -8.419000    -0.048000     0.226000     0.275000     0.898000
RYAN  -116.650080    36.316283   -15.534000    -8.111000    -0.493000     0.162000     0.196000     0.658000
S300  -121.558271    37.666507   -23.073000    -2.135000     1.041000     0.094000     0.117000     0.379000
SA63  -114.495724    32.688901   -11.657000    -6.102000    -6.766000     0.226000     0.265000     0.958000
SACY  -117.895583    33.743247   -38.151000    17.550000     0.334000     0.336000     0.367000     1.388000
SAOB  -121.447191    36.765306   -39.753000    22.828000    -0.084000     0.080000     0.096000     0.346000
SAWC  -118.953169    37.689897   -21.963000    -1.968000     3.144000     0.354000     0.401000     1.532000
SBCC  -117.661491    33.553002   -37.911000    17.452000    -0.972000     0.119000     0.139000     0.516000
SBRB  -122.410848    37.686450   -32.394000    17.153000    -0.943000     0.113000     0.156000     0.654000
SBRN  -122.410447    37.686221   -33.988000    14.829000    -3.752000     0.246000     0.342000     1.240000
SCCP  -122.002068    37.651845   -27.604000     6.423000    -1.511000     0.148000     0.184000     0.589000
SCIA  -117.388304    34.607447   -23.456000     3.960000    -0.145000     0.106000     0.125000     0.427000
SCIP  -118.487943    32.914430   -42.049000    22.958000    -1.246000     0.074000     0.087000     0.297000
SCMS  -117.634568    33.444142   -38.125000    18.504000    -0.773000     0.494000     0.571000     2.047000
SDHL  -116.278900    34.255011   -17.131000    -2.781000     0.528000     0.115000     0.135000     0.462000
SFDM  -118.754511    34.459807   -36.753000    13.227000     1.372000     0.132000     0.162000     0.682000
SGDM  -117.861707    34.205630   -34.955000    11.362000     0.474000     0.236000     0.244000     1.001000
SGHS  -118.108981    34.088627   -34.411000    13.853000    -0.358000     0.280000     0.297000     1.233000
SGPS  -116.695689    33.912537   -26.348000     7.742000    -0.424000     0.155000     0.186000     0.641000
SHIN  -120.225047    40.591678   -18.674000    -6.642000    -0.145000     0.081000     0.106000     0.354000
SHN5  -120.347061    35.674244   -34.267000    17.217000     1.085000     0.413000     0.484000     1.609000
SHOS  -116.298987    35.971344   -15.292000    -8.443000     0.307000     0.121000     0.142000     0.495000
SHP5  -120.671284    35.268634   -39.282000    22.361000     2.742000     0.356000     0.413000     1.422000
SHRC  -118.945630    37.624938   -22.003000    -7.990000     9.272000     0.571000     0.723000     2.427000
SIBE  -116.015585    34.624258   -16.420000    -7.059000    -0.509000     0.417000     0.529000     1.975000
SILK  -118.263876    34.102864   -37.813000    13.918000    -0.792000     0.161000     0.176000     0.691000
SIMM  -119.997807    35.351113   -33.477000    13.858000     2.437000     0.660000     0.792000     2.657000
SIO3  -117.250415    32.864705   -40.106000    19.272000    -1.278000     0.189000     0.221000     0.843000
SIO5  -117.249694    32.840736   -39.746000    18.568000    -2.070000     0.139000     0.169000     0.575000
SKUL  -116.210627    36.730454   -15.464000    -8.873000    -0.025000     0.155000     0.187000     0.662000
SKYB  -118.478634    34.438625   -34.893000    10.478000     0.971000     0.120000     0.142000     0.590000
SLAC  -122.204268    37.416519   -34.589000    16.290000    -0.490000     0.127000     0.152000     0.512000
SLI4  -119.884291    39.314277   -20.118000    -3.818000     3.245000     0.497000     0.631000     2.350000
SLID  -119.884291    39.314277   -21.341000    -4.765000    -1.611000     0.155000     0.196000     0.636000
SLMS  -115.977845    33.292228   -24.944000     5.663000    -0.557000     0.153000     0.170000     0.589000
SMEL  -112.844930    39.425643   -16.237000    -8.953000    -0.288000     0.042000     0.052000     0.169000
SMYC  -115.587485    36.319591   -15.282000    -9.057000     0.280000     0.143000     0.169000     0.594000
SNHS  -117.928632    33.927339   -37.207000    15.608000     0.291000     0.169000     0.191000     0.713000
SNI1  -119.524371    33.247877   -42.478000    23.679000    -0.970000     0.141000     0.168000     0.577000
SNOG  -116.807793    34.035212   -24.792000     5.813000    -0.544000     0.503000     0.556000     2.647000
SODB  -121.925524    37.166406   -33.147000    16.062000    -3.865000     0.236000     0.297000     1.216000
SOMT  -119.064338    34.319941   -39.076000    18.442000    -0.594000     0.182000     0.216000     0.724000
SONG  -117.560265    33.380751   -38.922000    18.185000    -1.585000     0.173000     0.203000     0.688000
SPK1  -118.646166    34.059345   -39.515000    18.219000     0.271000     0.078000     0.092000     0.318000
SPMS  -117.848780    33.992656   -36.537000    13.832000    -0.986000     0.141000     0.165000     0.583000
SRB1  -122.266966    37.874359   -30.453000    11.732000    -0.948000     0.268000     0.330000     1.140000
SRS1  -120.065226    34.004338   -42.080000    23.878000    -0.107000     0.049000     0.057000     0.199000
STEA  -119.883677    39.625543   -19.912000    -5.230000     1.875000     0.146000     0.191000     0.615000
STRI  -116.337795    36.644621   -15.440000    -8.866000    -0.155000     0.144000     0.174000     0.596000
SUAA  -122.173294    37.426908   -32.952000    14.746000     0.253000     0.252000     0.307000     1.017000
SUTB  -121.820602    39.205836   -22.712000    -4.654000    -2.487000     0.106000     0.143000     0.444000
SVIN  -122.526324    38.033181   -31.697000    12.469000    -0.014000     0.140000     0.182000     0.619000
SWEP  -122.457701    37.611685   -35.302000    19.528000    -1.720000     0.098000     0.122000     0.390000
T3RP  -122.588260    37.927890   -33.205000    15.349000    -0.940000     0.247000     0.295000     0.928000
TABL  -117.678286    34.381850   -30.021000     8.009000     0.719000     0.113000     0.141000     0.516000
TABV  -117.678286    34.381850   -29.883000     7.628000    -1.077000     0.167000     0.214000     0.742000
TAFT  -119.485171    35.156545   -27.455000     5.908000    -2.101000     0.364000     0.430000     1.429000
TATE  -116.574276    36.931615   -15.578000    -8.838000    -0.114000     0.150000     0.182000     0.620000
TBLP  -120.360340    35.917411   -24.673000     5.799000     1.745000     0.154000     0.182000     0.706000
TEHA  -118.469796    35.143059   -23.383000     1.740000     1.974000     0.376000     0.448000     1.490000
THCP  -118.414575    35.158183   -23.197000     2.136000     0.193000     0.076000     0.093000     0.305000
THMG  -116.077252    33.650640   -21.950000     0.515000    -0.381000     0.122000     0.140000     0.474000
THMS  -117.766800    33.549638   -38.853000    18.095000    -1.892000     0.170000     0.187000     0.693000
TIBB  -122.447607    37.890877   -31.722000    13.246000    -0.982000     0.077000     0.087000     0.369000
TILC  -118.862857    37.618887   -18.660000    -5.968000     4.455000     0.246000     0.315000     1.087000
TIVA  -116.229708    36.934848   -15.477000    -9.448000    -0.406000     0.091000     0.111000     0.366000
TJRN  -120.132568    34.483476   -41.772000    22.295000     0.431000     0.053000     0.064000     0.227000
TMAP  -116.160464    33.641246   -25.021000     4.114000    -0.158000     0.191000     0.206000     0.733000
TOIY  -117.049410    39.542172   -16.359000    -9.536000     0.066000     0.049000     0.061000     0.199000
TONO  -117.184043    38.097193   -16.159000    -9.235000    -0.121000     0.058000     0.072000     0.232000
TORP  -118.330609    33.797800   -38.869000    18.140000    -0.169000     0.089000     0.104000     0.360000
TOST  -118.836670    34.247958   -38.997000    18.824000    -1.147000     0.170000     0.201000     0.695000
TRAK  -117.803440    33.617937   -38.232000    17.597000    -0.698000     0.109000     0.122000     0.457000
TRCP  -122.615861    37.997425   -32.427000    15.060000    -2.059000     0.162000     0.203000     0.651000
TRLK  -120.828651    37.466642   -23.175000    -1.984000    -2.050000     0.235000     0.279000     0.920000
TRND  -124.150868    41.053886    -9.129000     3.993000    -0.823000     0.141000     0.181000     0.576000
TROY  -116.530548    34.838596   -18.981000    -4.481000     0.385000     0.178000     0.221000     0.755000
TUNG  -118.257507    40.403200   -17.768000    -8.622000     0.895000     0.079000     0.098000     0.355000
TWMS  -117.725526    33.972456   -35.875000    12.894000    -1.890000     0.130000     0.143000     0.575000
UCLP  -118.441915    34.069123   -37.962000    15.888000    -0.077000     0.134000     0.153000     0.565000
UCSB  -119.843820    34.413308   -41.340000    19.627000     1.441000     0.130000     0.146000     0.581000
UCSF  -122.458155    37.762969   -32.141000    15.689000    -1.728000     0.191000     0.244000     0.794000
UPSA  -118.802283    39.627111   -18.293000    -7.675000    -0.036000     0.052000     0.066000     0.207000
USC1  -118.285120    34.023953   -37.270000    16.236000    -2.321000     0.226000     0.273000     1.072000
USGC  -116.085339    33.030065   -35.142000    14.023000    -0.133000     0.124000     0.142000     0.484000
USLO  -120.661098    35.311806   -39.612000    22.945000    -0.056000     0.103000     0.123000     0.463000
VAN1  -120.563514    34.826617   -41.070000    23.142000     2.189000     0.260000     0.305000     1.103000
VAN2  -120.563299    34.826462   -42.958000    24.105000    -1.408000     0.588000     0.688000     2.500000
VCST  -119.483864    34.851504   -36.342000    12.995000     1.543000     0.170000     0.203000     0.713000
VCVL  -121.946943    38.394530   -22.983000    -2.815000    -2.470000     0.098000     0.125000     0.400000
VDCY  -118.220005    34.178567   -36.584000    13.484000    -1.384000     0.169000     0.182000     0.829000
VIMT  -118.514418    34.126449   -38.560000    16.463000     1.050000     0.122000     0.146000     0.490000
VINE  -117.363419    36.995342   -16.211000    -7.977000    -0.183000     0.291000     0.346000     1.265000
VINZ  -118.939010    34.962393   -29.692000     6.783000     0.262000     0.592000     0.696000     2.342000
VNCO  -119.237675    34.275767   -40.554000    17.647000    -4.333000     0.283000     0.338000     1.208000
VNCX  -118.484545    34.293194   -37.283000    13.862000     0.796000     0.042000     0.049000     0.167000
VNDP  -120.616456    34.556314   -42.650000    23.379000    -0.161000     0.094000     0.110000     0.401000
VNPS  -118.121162    34.501482   -31.960000     9.916000    -0.037000     0.130000     0.150000     0.538000
VONS  -116.622930    36.594097   -15.481000    -8.466000    -0.645000     0.216000     0.264000     0.888000
VTIS  -118.293828    33.712642   -39.358000    19.168000    -0.509000     0.097000     0.115000     0.392000
VTOR  -117.193189    33.225016   -38.474000    17.023000    -1.564000     0.113000     0.134000     0.448000
VYAS  -117.992055    34.030918   -33.707000    14.986000    -2.026000     0.344000     0.405000     1.669000
WATC  -118.653889    37.664332   -16.968000    -3.220000     1.402000     0.181000     0.221000     0.717000
WCHS  -117.911115    34.061899   -38.090000    14.534000    -2.658000     0.135000     0.154000     0.572000
WDCB  -122.540653    40.580100   -20.555000    -6.038000     1.288000     0.421000     0.590000     1.768000
WGPP  -118.983692    35.010849   -27.986000     5.921000    -1.834000     0.091000     0.109000     0.389000
WHC1  -118.031174    33.979887   -39.491000    14.529000    -2.153000     0.178000     0.209000     0.730000
WHYT  -117.643462    33.674492   -37.459000    17.200000    -0.655000     0.116000     0.136000     0.472000
WIDC  -116.391785    33.934758   -22.248000     3.376000     1.334000     0.153000     0.178000     0.631000
WIN2  -122.140633    37.652652   -31.265000    11.920000     0.448000     0.114000     0.143000     0.458000
WINT  -122.140573    37.652645   -31.003000    11.447000    -1.009000     0.077000     0.095000     0.340000
WKPK  -118.741522    34.568500   -34.984000    10.618000     0.552000     0.082000     0.098000     0.354000
WLSN  -118.055917    34.226122   -36.577000    11.102000     0.361000     0.048000     0.056000     0.210000
WMAP  -118.414296    34.259426   -37.009000    14.543000     0.009000     0.080000     0.097000     0.346000
WMDG  -115.581897    33.038324   -22.779000    -2.556000   -10.933000     0.457000     0.522000     1.770000
WNRA  -118.059263    34.043239   -36.924000    15.058000    -4.229000     0.192000     0.230000     0.779000
WOMT  -116.931668    34.669014   -21.592000     1.230000    -0.471000     0.117000     0.139000     0.478000
WRHS  -118.427612    33.958154   -38.456000    18.181000     1.423000     0.145000     0.155000     0.548000
WWFG  -115.578781    33.278835   -18.386000    -8.816000    -2.602000     0.204000     0.237000     0.810000
WWMT  -116.653860    33.955314   -24.385000     6.758000     0.529000     0.121000     0.141000     0.496000
YBHB  -122.710738    41.731655   -15.539000    -4.822000     0.478000     0.116000     0.168000     0.655000
YUHG  -115.922236    32.647567   -38.646000    16.314000    -0.699000     0.233000     0.228000     1.022000
ZOA1  -122.015950    37.543054   -31.646000    11.690000    -0.477000     0.091000     0.114000     0.366000
ZOA2  -122.015897    37.543027   -31.911000    12.213000    -0.846000     0.099000     0.122000     0.391000
ZOLE  -119.753361    39.421670   -20.045000    -5.877000    -1.034000     0.144000     0.185000     0.587000
7ODM  -117.093197    34.116408   -27.130000     5.861000    -0.628000     0.189000     0.229000     0.807000
